id,bone_length,rotting_flesh,hair_length,has_soul,type,hair_length_has_soul,bone_length_rotting_flesh,bone_length_squared,rotting_flesh_squared,bone_to_flesh_ratio,soul_to_hair_ratio,color_black,color_blood,color_blue,color_clear,color_green,color_white
0,0.3545121845821541,0.35083902671065,0.4657608918291205,0.78114166586219,Ghoul,0.3638252389368585,0.1243767097958692,0.1256788890172113,0.1230880226632761,1.0104408380603125,1.67709420997646,0.0,0.0,0.0,1.0,0.0,0.0
1,0.5755599050254655,0.4258684322105845,0.5314013787091408,0.439898877037289,Goblin,0.2337628697502182,0.2451127943964679,0.3312692042729229,0.1813639215535012,1.3514652574396344,0.8277934847873485,0.0,0.0,0.0,0.0,1.0,0.0
2,0.467875498742323,0.3543304203917748,0.8116160896689244,0.791224973337769,Ghoul,0.6421709189087991,0.1657825221603786,0.2189074823233774,0.1255500468150118,1.320412439046662,0.974863897808562,1.0,0.0,0.0,0.0,0.0,0.0
4,0.776652460655474,0.5087225499432287,0.6367655799597881,0.8844636920976973,Ghoul,0.5631960358519656,0.3951006202043358,0.6031890446422026,0.2587986328207408,1.526641966868728,1.3889723788615616,1.0,0.0,0.0,0.0,0.0,0.0
5,0.56611660205779,0.8758617955062562,0.4185936708748796,0.6364378187279373,Ghost,0.2664088428249284,0.4958399035442367,0.3204880071254581,0.7671338848274429,0.6463464230293808,1.520382794058603,0.0,0.0,0.0,0.0,1.0,0.0
7,0.405679744891883,0.253277496666039,0.4414196710726872,0.2803238199213896,Goblin,0.123740448383539,0.1027495502343334,0.1645760554155433,0.0641494903174153,1.6016572086334528,0.6350361978165047,0.0,0.0,0.0,0.0,1.0,0.0
8,0.399330850860438,0.5689517671030597,0.6183910202674578,0.4679008345210921,Goblin,0.2893456744434931,0.2271999932558146,0.1594651284489213,0.3237061132896943,0.7018588487829002,0.756630114094452,0.0,0.0,0.0,0.0,0.0,1.0
11,0.5162238981116547,0.5364287456984622,0.6127761465851604,0.4680482696484728,Ghoul,0.2868088150910433,0.2769173381636057,0.266487112981592,0.2877557992116255,0.9623165780829516,0.7638036079254396,0.0,0.0,0.0,1.0,0.0,0.0
12,0.3142952759201916,0.6712796900808566,0.4172669166262837,0.2275475750972251,Ghost,0.0949480750466068,0.2109800354135835,0.0987815204657493,0.4506164223150509,0.4681961909504893,0.5453155111885051,0.0,0.0,1.0,0.0,0.0,0.0
19,0.2809417440979105,0.7014574929942134,0.1796332951168527,0.1411826507100036,Ghost,0.0253611047603696,0.1970686914923421,0.0789282635767758,0.492042614477727,0.4005057210829698,0.7859054835203754,0.0,0.0,0.0,0.0,0.0,1.0
22,0.4316852133394812,0.4389592731593482,0.2392124879973941,0.4718195627187505,Goblin,0.1128651314837948,0.1894922274811368,0.1863521234159534,0.1926852434925832,0.9834064471815028,1.972304387720815,0.0,0.0,0.0,1.0,0.0,0.0
23,0.584543226402469,0.5930819356156424,0.6811657623420384,0.9357213331107028,Ghoul,0.6373813352080604,0.346682028165789,0.3416907835330082,0.3517461823535969,0.985586198867635,1.373685596054502,0.0,0.0,0.0,1.0,0.0,0.0
25,0.3907121285960714,0.3350693972625707,0.5561094618022101,0.7842165804203274,Ghoul,0.4361102604739179,0.1309156774318616,0.152655967432073,0.1122715009819024,1.1660285048498715,1.4101584898304504,0.0,0.0,0.0,0.0,0.0,1.0
27,0.3515586720944532,0.4710781716572552,0.4844577817226679,0.4653278802844954,Goblin,0.2254317126563378,0.1656116164805075,0.1235934999248152,0.2219146438119423,0.7462693679140667,0.9604929323264492,1.0,0.0,0.0,0.0,0.0,0.0
28,0.5133872213931538,0.3013447615817322,0.7456755654684397,0.5457922990384892,Goblin,0.4069839812138452,0.1547065498298279,0.2635664390897831,0.090808665332751,1.7035975097871985,0.7319335713513813,0.0,0.0,0.0,1.0,0.0,0.0
29,0.5001965520236578,0.4384181454387683,0.5325298147689491,0.6655224296568855,Ghoul,0.3544105361897622,0.2192952446930784,0.2501965906563557,0.1922104702499689,1.1408860430779897,1.249713939127036,0.0,0.0,0.0,1.0,0.0,0.0
30,0.2507699997704333,0.2462576855648545,0.5546544421413162,0.2500355193334616,Ghost,0.1386833114914154,0.061754039752566,0.0628855927848631,0.0606428476997587,1.018282196445108,0.4507869990154481,1.0,0.0,0.0,0.0,0.0,0.0
31,0.5855593168709793,0.585938618841321,1.0,0.708691750060939,Ghoul,0.708691750060939,0.343101817377049,0.3428797135744079,0.3433240650496749,0.999335603911634,0.7086846632143068,1.0,0.0,0.0,0.0,0.0,0.0
32,0.6058359561481175,0.5879431786674414,0.529361248889943,0.5267176472227212,Ghoul,0.278823911546192,0.3561971178087528,0.3670372057619037,0.3456771813415749,1.0304153087856525,0.9949872576707062,0.0,0.0,1.0,0.0,0.0,0.0
34,0.5240803802397399,0.750988138270072,0.5246370241727257,0.4433583431154124,Ghost,0.2326022017742202,0.3935781490601137,0.2746602449522303,0.5639831838223488,0.6978451124352475,0.8450602456280183,0.0,0.0,0.0,0.0,1.0,0.0
35,0.503164057832666,0.464055333613106,0.4977828029510476,0.4720310491885279,Goblin,0.2349689387449892,0.233495964719662,0.2531740690946345,0.2153473526547711,1.0842526286442178,0.9482480389234292,0.0,0.0,0.0,1.0,0.0,0.0
36,0.4726032938231003,0.4271505454280777,0.5901301905716715,0.3564882329332289,Ghoul,0.2103744688374448,0.2018727547276433,0.2233538733324436,0.1824575884595042,1.1063832998655865,0.6040738092891066,0.0,0.0,0.0,0.0,0.0,1.0
